UNIVERSAL HEALTH REALTY INCOME TRU,US91359E1055,"0,1"
OFFICE PROPERTIES INCOME TRUST,US67623C1099,"0,1"
INDUSTRIAL LOGISTICS PROPERTIES TR,US4562371066,"0,1"
KIWI PROPERTY GROUP LTD,NZKPGE0001S9,"0,1"
FRASERS LOGISTICS & INDUSTRIAL TRU,SG1CI9000006,"0,1"
FRASERS CENTREPOINT UNITS TRUST,SG1T60930966,"0,1"
JAPAN RENTAL HOUSING INVESTMENTS R,JP3046410001,"0,09"
MONMOUTH REAL ESTATE INVESTMENT RE,US6097201072,"0,09"
FORTUNE UNITS TRUST,SG1O33912138,"0,09"
KILLAM APARTMENT REIT UNITS CLASS,CA49410M1023,"0,09"
BOARDWALK REAL ESTATE INVESTMENT T,CA0966311064,"0,09"
INDEPENDENCE REALTY INC TRUST,US45378A1060,"0,09"
KITE REALTY GROUP TRUST REIT,US49803T3005,"0,09"
DEUTSCHE EUROSHOP AG,DE0007480204,"0,09"
NORTHVIEW APARTMENT REAL ESTATE IN,CA6671851021,"0,09"
DREAM OFFICE REAL ESTATE UNITS TRU,CA26153P1045,"0,08"
KLOVERN CLASS B,SE0006593919,"0,08"
BWP TRUST,AU000000BWP3,"0,08"
KENEDIX RETAIL REIT CORP,JP3047900000,"0,08"
BEFIMMO SA,BE0003678894,"0,08"
SERITAGE GROWTH PROPERTIES CLA,US81752R1005,"0,08"
FUKUOKA REIT CORP,JP3046240002,"0,08"
ARTIS REAL ESTATE INVESTMENT TRUST,CA04315L1058,"0,08"
INNOVATIVE INDUSTRIAL PROPERTIES I,US45781V1017,"0,08"
CHARTER HALL RETAIL UNITS,AU000000CQR9,"0,08"
BROOKFIELD PROPERTY REIT INC CLASS,US11282X1037,"0,08"
EUROCOMMERCIAL PROPERTIES DUTCH CE,NL0000288876,"0,07"
DREAM INDUSTRIAL REAL ESTATE INVES,CA26153W1095,"0,07"
CHAMPION REAL ESTATE INVESTMENT TR,HK2778034606,"0,07"
